Organs and tissues of the adult female reference computational phantom			
			
Organ Organ                                          Tissue Density	Color
ID                                                   number	
1     Adrenal, left                                    43    1.030	0xCCFF33
2     Adrenal, right                                   43    1.030	0xCCFF33
3     Anterior nasal passage (ET1)                     45    1.030	0x6699FF
4     Posterior nasal passage down to larynx (ET2)     45    1.030	0xFF33CC
5     Oral mucosa, tongue                              29    1.050	0x993300
6     Oral mucosa, lips and cheeks                     29    1.050	0x993300
7     Trachea                                          45    1.030	0x009ee5
8     Bronchi                                          45    1.030	0x9933FF
9     Blood vessels, head                              28    1.060	0x990000
10    Blood vessels, trunk                             28    1.060	0x990000
11    Blood vessels, arms                              28    1.060	0x990000
12    Blood vessels, legs                              28    1.060	0x990000
13    Humeri, upper half, cortical                      2    1.920	0xFFFFCC
14    Humeri, upper half, spongiosa                     3    1.185	0xcc0052
15    Humeri, upper half, medullary cavity             22    0.980	0xa0a080
16    Humeri, lower half, cortical                      2    1.920	0xFFFFCC
17    Humeri, lower half, spongiosa                     4    1.117	0xcc0052
18    Humeri, lower half, medullary cavity             23    0.980	0xa0a080
19    Ulnae and radii, cortical                         2    1.920	0xFFFFFF
20    Ulnae and radii, spongiosa                        5    1.117	0xcc0052
21    Ulnae and radii, medullary cavity                24    0.980	0xa0a080
22    Wrists and hand bones, cortical                   2    1.920	0xFFFFFF
23    Wrists and hand bones, spongiosa                  6    1.117	0xcc0052
24    Clavicles, cortical                               2    1.920	0xF9F9F9
25    Clavicles, spongiosa                              7    1.191	0xcc0052
26    Cranium, cortical                                 2    1.920	0xEBEBEB
27    Cranium, spongiosa                                8    1.245	0xcc0052
28    Femora, upper half, cortical                      2    1.920	0xF9F9F9
29    Femora, upper half, spongiosa                     9    1.046	0xcc0052
30    Femora, upper half, medullary cavity             22    0.980	0xa0a080
31    Femora, lower half, cortical                      2    1.920	0xF9F9F9
32    Femora, lower half, spongiosa                    10    1.117	0xcc0052
33    Femora, lower half, medullary cavity             23    0.980	0xa0a080
34    Tibiae, fibulae and patellae, cortical            2    1.920	0xF9F9F9
35    Tibiae, fibulae and patellae, spongiosa          11    1.117	0xcc0052
36    Tibiae, fibulae and patellae, medullary cavity   25    0.980	0xa0a080
37    Ankles and foot bones, cortical                   2    1.920	0xF9F9F9
38    Ankles and foot bones, spongiosa                 12    1.117	0xcc0052
39    Mandible, cortical                                2    1.920	0xBFBFBF
40    Mandible, spongiosa                              13    1.189	0xcc0052
41    Pelvis, cortical                                  2    1.920	0xFFFFCC
42    Pelvis, spongiosa                                14    1.109	0xcc0052
43    Ribs, cortical                                    2    1.920	0xFFFFCC
44    Ribs, spongiosa                                  15    1.092	0xcc0052
45    Scapulae, cortical                                2    1.920	0xf2f2f2
46    Scapulae, spongiosa                              16    1.128	0xa6a6a6
